"Date","Province","CaseCounts"
2020-11-02,"BC",16265.4548267527
2020-11-03,"BC",16656.6702183032
2020-11-04,"BC",17057.8932406991
2020-11-05,"BC",17469.1295280987
2020-11-06,"BC",17890.3729592289
2020-11-07,"BC",18321.6056573847
2020-11-08,"BC",18762.7979904297
2020-11-09,"BC",19213.9085707957
2020-11-10,"BC",19674.8842554829
2020-11-11,"BC",20145.6601460598
2020-11-12,"BC",20626.1595886633
2020-11-13,"BC",21116.2941739987
2020-11-14,"BC",21615.9637373396
2020-11-15,"BC",22125.0563585278
2020-11-16,"BC",22643.4483619737
2020-11-17,"BC",23171.004316656
2020-11-18,"BC",23707.5770361216
2020-11-19,"BC",24253.0075784858
2020-11-20,"BC",24807.1252464325
2020-11-21,"BC",25369.7475872136
2020-11-22,"BC",25940.6803926495
2020-11-23,"BC",26519.717699129
2020-11-24,"BC",27106.6417876092
2020-11-25,"BC",27701.2231836156
2020-11-26,"BC",28303.2206572419
2020-11-27,"BC",28912.3812231503
2020-11-28,"BC",29528.4401405714
2020-11-29,"BC",30151.1209133039
2020-11-30,"BC",30780.1352897152
2020-12-01,"BC",31415.1832627407
2020-12-02,"BC",32055.9530698844
2020-12-03,"BC",32702.1211932185
2020-12-04,"BC",33353.3523593837
2020-12-05,"BC",34009.299539589
2020-12-06,"BC",34669.6039496116
2020-12-07,"BC",35333.8950497972
2020-12-08,"BC",36001.7905450599
2020-12-09,"BC",36672.896384882
2020-12-10,"BC",37346.8067633143
2020-12-11,"BC",38023.1041189758
2020-12-12,"BC",38701.3591350539
2020-12-13,"BC",39381.1307393045
2020-12-14,"BC",40061.9661040517
2020-12-15,"BC",40743.4006461879
2020-12-16,"BC",41424.958027174
2020-12-17,"BC",42106.1501683401
2020-12-18,"BC",42786.4810914447
2020-12-19,"BC",43465.4642241397
2020-12-20,"BC",44142.6307390324
2020-12-21,"BC",44817.5297985023
2020-12-22,"BC",45489.7285547005
2020-12-23,"BC",46158.8121495502
2020-12-24,"BC",46824.3837147463
2020-12-25,"BC",47486.0643717559
2020-12-26,"BC",48143.4932318177
2020-12-27,"BC",48796.3273959425
2020-12-28,"BC",49444.2419549129
2020-12-29,"BC",50086.9299892835
2020-12-30,"BC",50724.1025693806
