OBJECTID,HR_UID,Province,CaseCount,Deaths,Recovered,Tests,Last_Updated,GlobalID
18373,3557,ON,59,1,51,29765,2020/10/07 20:10:00+00,{E4D3ED24-4211-42AF-BB5C-59F955C104E8}
18374,3558,ON,310,12,212,66143,2020/10/07 20:10:59+00,{221B7A91-81BD-4FC5-B56B-3BFB23B3AF1E}
18375,3560,ON,992,39,855,,2020/10/07 20:10:59+00,{AD6346B1-77BC-4EDF-9DE9-E82662DD0208}
18376,3561,ON,109,2,106,44098,2020/10/07 20:12:00+00,{3F94CFF0-2F53-41BB-9767-43465985668A}
18377,3562,ON,107,1,106,52835,2020/10/07 23:15:00+00,{D2D9DA4F-7C30-4D51-9179-820EE54B2E79}
18378,3563,ON,17,0,17,11323,2020/10/07 20:12:00+00,{31F0ECE1-E979-4E14-9CD9-511FA7B062EF}
18379,3565,ON,1828,120,1577,140941,2020/10/07 20:13:00+00,{5C90C79A-7BF2-4829-A48C-F3B3B4DBEE4C}
18380,3566,ON,694,37,610,75629,2020/10/07 20:13:00+00,{6ADEE939-36A7-407C-B894-CC58542548A7}
18381,3568,ON,2688,76,2574,16889,2020/10/07 20:13:59+00,{B648CF4C-793A-40A9-A4B7-EFBA6831BAB1}
18382,1203,NS,54,,,,2020/10/07 20:31:00+00,{324C26AF-6014-40F8-A1AC-ED2E67910D54}
18383,1204,NS,911,,,,2020/10/07 20:31:00+00,{6E0B570B-46AA-4A87-A2EF-6968FC59CE57}
18384,1301,NB,67,0,47,25729,2020/10/07 20:35:59+00,{7641CC2A-98D8-4C01-8D97-2896BFF0F2BA}
18385,1302,NB,30,0,28,14391,2020/10/07 20:35:59+00,{FA2C8158-E786-4721-972F-F0B8798A5343}
18386,1303,NB,58,0,58,16705,2020/10/07 20:36:59+00,{E9CB1E0C-D503-4475-B088-053DA7F0D03C}
18387,1304,NB,8,0,8,4373,2020/10/07 20:36:59+00,{F3CBE36C-51DF-4BD8-8277-D2B6A2C2C0A6}
18388,1305,NB,53,2,51,10713,2020/10/07 20:38:00+00,{382BD420-24AD-4635-94A8-43A1359A373F}
18389,1306,NB,3,0,3,6700,2020/10/07 20:38:00+00,{96843534-F4D5-4A32-9AAF-70666F18AC0E}
